Date/Time,Word Count,en,pt-BR
2022.09.29-19.59.54,256,256,0
2022.09.29-22.47.21,256,256,253
2022.09.29-22.51.30,256,256,246
2022.10.01-12.44.52,1099,1099,246
2022.10.01-13.01.45,1071,1071,246
2022.10.01-13.08.20,1071,1071,368
2022.10.01-13.20.21,1071,1071,1061
2022.10.01-13.25.58,1073,1073,1039
2022.10.01-13.30.47,1073,1073,1063
2022.10.01-14.56.30,1082,1082,1063
2022.10.01-15.41.04,1083,1083,1071
2022.10.03-20.31.37,1144,1144,1071
2022.10.04-23.02.33,1216,1216,1132
2022.10.04-23.07.40,1217,1217,1163
2022.10.05-18.54.06,1309,1309,1205
2022.10.09-16.23.04,1309,1309,1297
2022.10.10-19.54.48,1399,1399,1297
2022.10.11-19.58.44,1395,1395,1365
2022.10.11-20.01.56,1396,1396,1356
2022.10.11-20.09.30,1442,1442,1329
